Team Name,Actual Seed,Model Seed,Seed Delta,Championship Caliber
Duke Blue Devils,1.0,1,0.0,0.7799639948968475
Arizona Wildcats,1.0,1,0.0,0.778092787532716
Michigan Wolverines,1.0,1,0.0,0.8444565900312463
Florida Gators,1.0,2,-1.0,0.6087084611601956
Houston Cougars,2.0,2,0.0,0.5716615451289012
Iowa State Cyclones,2.0,2,0.0,0.4642296742015656
Illinois Fighting Illini,3.0,1,2.0,0.6411650104116194
Purdue Boilermakers,2.0,2,0.0,0.5377827173013815
Michigan State Spartans,3.0,3,0.0,0.3297136932785274
Gonzaga Bulldogs,3.0,5,-2.0,0.26783006315383867
UConn Huskies,2.0,3,-1.0,0.36385895304902943
Vanderbilt Commodores,5.0,3,2.0,0.32616429867077645
Virginia Cavaliers,3.0,5,-2.0,0.26988636155807116
Arkansas Razorbacks,4.0,4,0.0,0.2719706083197937
Nebraska Cornhuskers,4.0,5,-1.0,0.24959670215639254
Tennessee Volunteers,6.0,4,2.0,0.2988921148115184
St. John's Red Storm,5.0,3,2.0,0.3136675603206747
Alabama Crimson Tide,4.0,4,0.0,0.3041625486442272
Louisville Cardinals,6.0,5,1.0,0.25351957988186685
Texas Tech Red Raiders,5.0,4,1.0,0.27582074392382333
Kansas Jayhawks,4.0,6,-2.0,0.20186762362437244
BYU Cougars,6.0,8,-2.0,0.13955636607867739
Wisconsin Badgers,5.0,6,-1.0,0.24300491664827567
Saint Mary's Gaels,7.0,7,0.0,0.1469465572850545
Iowa Hawkeyes,9.0,6,3.0,0.21613170377501098
Ohio State Buckeyes,8.0,6,2.0,0.20123284040110986
UCLA Bruins,7.0,7,0.0,0.18991439946912916
Kentucky Wildcats,7.0,8,-1.0,0.14298811571569214
North Carolina Tar Heels,6.0,7,-1.0,0.14545315974156367
Miami Hurricanes,7.0,8,-1.0,0.1371568268971192
Utah State Aggies,9.0,7,2.0,0.16022472479605152
Georgia Bulldogs,8.0,9,-1.0,0.11569860375760818
Villanova Wildcats,8.0,9,-1.0,0.12809567310362427
NC State Wolfpack,11.0,10,1.0,0.11288683159560875
Santa Clara Broncos,10.0,8,2.0,0.13967174572331892
Clemson Tigers,8.0,10,-2.0,0.11196608691676842
Texas Longhorns,11.0,9,2.0,0.11740228958990977
Texas A&M Aggies,10.0,10,0.0,0.10889406746258964
Saint Louis Billikens,9.0,9,0.0,0.1178677363739212
SMU Mustangs,11.0,10,1.0,0.08928881427124621
TCU Horned Frogs,9.0,11,-2.0,0.07750918521415545
VCU Rams,11.0,11,0.0,0.08002276991305712
South Florida Bulls,11.0,11,0.0,0.07754236760930186
Missouri Tigers,10.0,11,-1.0,0.08368106385340147
UCF Knights,10.0,12,-2.0,0.06097514299280974
Akron Zips,12.0,12,0.0,0.04469125217549179
McNeese Cowboys,12.0,12,0.0,0.043963575536874314
Northern Iowa Panthers,12.0,12,0.0,0.0351367059534634
Hofstra Pride,13.0,13,0.0,0.025268227081213727
High Point Panthers,12.0,13,-1.0,0.02737430696572469
Miami RedHawks,11.0,13,-2.0,0.025564652158842065
California Baptist Lancers,13.0,14,-1.0,0.014914446414425039
Hawaii Rainbow Warriors,13.0,14,-1.0,0.012076350613312001
North Dakota State Bison,14.0,14,0.0,0.01181545350969211
Wright State Raiders,14.0,14,0.0,0.00864017376617353
Troy Trojans,13.0,15,-2.0,0.005700399954364372
Idaho Vandals,15.0,15,0.0,0.005672222627435138
Penn Quakers,14.0,15,-1.0,0.006210023032996916
Kennesaw State Owls,14.0,15,-1.0,0.005527256652126119
Queens Royals,15.0,13,2.0,0.024561296154165843
UMBC Retrievers,16.0,16,0.0,0.0024824519145288794
Tennessee State Tigers,15.0,16,-1.0,0.0013745875968825569
Furman Paladins,15.0,16,-1.0,0.0031418478588664867
Siena Saints,16.0,16,0.0,0.004000832398833467
Howard Bison,16.0,16,0.0,0.0027871852380486426
LIU Sharks,16.0,16,0.0,0.0008128109160732061
Lehigh Mountain Hawks,16.0,16,0.0,5.528935080162077e-05
Prairie View A&M Panthers,16.0,16,0.0,0.00010118169290413245
