Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
Houston,Big 12,1,1,10,88,30-4,17-4,13-0,7-3,11,194,16-4,3-0,4-0,7-0
UConn(AQ),Big East,2,2,77,117,31-3,21-2,10-1,9-3,24,69,13-3,8-0,1-0,9-0
Purdue,Big Ten,3,3,2,74,29-4,18-4,11-0,7-3,8,9,12-4,8-0,6-0,3-0
Arizona,Pac-12,4,4,11,89,25-8,16-6,9-2,7-4,49,13,8-3,7-4,8-1,2-0
Auburn(AQ),SEC,5,5,36,103,27-7,16-5,11-2,5-5,64,171,3-7,10-0,9-0,5-0
Iowa St.(AQ),Big 12,6,6,59,111,27-7,16-5,11-2,5-5,16,324,10-6,6-1,2-0,9-0
Tennessee,SEC,7,7,9,87,24-8,14-5,10-3,8-3,10,16,8-7,5-1,6-0,5-0
North Carolina,ACC,8,8,13,91,27-7,19-4,8-3,8-2,32,25,9-3,7-4,6-0,5-0
Alabama,SEC,9,9,3,75,21-11,13-6,8-5,5-5,4,18,4-10,7-1,7-0,3-0
Duke,ACC,10,10,59,111,24-8,15-6,9-2,7-4,71,116,5-4,6-4,7-0,6-0
Creighton,Big East,11,11,47,105,23-9,14-7,9-2,8-5,27,58,8-5,7-4,1-0,7-0
BYU,Big 12,12,12,59,111,23-10,11-9,12-1,3-7,40,293,6-8,5-2,4-0,8-0
Illinois(AQ),Big Ten,13,15,27,98,26-8,17-6,9-2,6-5,35,150,8-6,6-1,7-1,5-0
Marquette,Big East,14,13,13,91,25-9,16-7,9-2,7-5,7,17,9-8,6-1,4-0,6-0
Baylor,Big 12,15,14,6,80,22-10,12-8,10-2,4-5,1,70,10-9,4-1,3-0,5-0
Saint Mary's (CA)(AQ),WCC,16,16,106,147,25-7,17-1,8-6,9-0,102,80,5-3,3-2,5-2,12-0
Gonzaga,WCC,17,17,119,156,24-7,15-3,9-4,8-2,91,20,3-6,4-1,5-0,12-0
Kentucky,SEC,18,19,59,111,23-9,13-6,10-3,7-3,56,173,6-7,2-1,8-1,7-0
Kansas,Big 12,19,20,7,84,21-10,10-9,11-1,3-7,2,36,7-9,6-0,4-1,4-0
San Diego St.,Mountain West,20,21,19,93,22-10,13-8,9-2,6-8,25,15,4-9,6-1,6-0,6-0
Wisconsin,Big Ten,21,18,5,79,22-13,14-10,8-3,3-9,3,26,5-9,9-4,4-0,4-0
