School,Overall_Seed,Berth Type,Season
Gonzaga,1,Automatic,2021
Iowa,7,At-Large,2021
Kansas,12,At-Large,2021
Virginia,16,At-Large,2021
Creighton,17,At-Large,2021
Southern California,21,At-Large,2021
Oregon,25,At-Large,2021
Oklahoma,32,At-Large,2021
Missouri,33,At-Large,2021
VCU,38,At-Large,2021
Wichita St.,45,At-Large,2021
Drake,48,At-Large,2021
UC Santa Barbara,50,Automatic,2021
Ohio,51,Automatic,2021
Eastern Wash.,58,Automatic,2021
Grand Canyon,59,Automatic,2021
Norfolk St.,67,Automatic,2021
App State,68,Automatic,2021
Michigan,4,At-Large,2021
Alabama,5,Automatic,2021
Texas,11,Automatic,2021
Florida St.,13,At-Large,2021
Colorado,20,At-Large,2021
BYU,23,At-Large,2021
UConn,26,At-Large,2021
LSU,29,At-Large,2021
St. Bonaventure,39,Automatic,2021
Maryland,36,At-Large,2021
Michigan St.,43,At-Large,2021
UCLA,44,At-Large,2021
Georgetown,47,Automatic,2021
UNC Greensboro,54,Automatic,2021
Abilene Christian,55,Automatic,2021
Iona,62,Automatic,2021
Mount St. Mary's,65,Automatic,2021
Texas Southern,66,Automatic,2021
Baylor,2,At-Large,2021
Ohio St.,6,At-Large,2021
Arkansas,9,At-Large,2021
Purdue,14,At-Large,2021
Villanova,18,At-Large,2021
Texas Tech,22,At-Large,2021
Florida,28,At-Large,2021
North Carolina,31,At-Large,2021
Wisconsin,35,At-Large,2021
Virginia Tech,37,At-Large,2021
Utah St.,42,At-Large,2021
Winthrop,49,Automatic,2021
North Texas,52,Automatic,2021
Colgate,57,Automatic,2021
Oral Roberts,61,Automatic,2021
Hartford,64,Automatic,2021
Illinois,3,Automatic,2021
Houston,8,Automatic,2021
West Virginia,10,At-Large,2021
Oklahoma St.,15,At-Large,2021
Tennessee,19,At-Large,2021
San Diego St.,24,Automatic,2021
Clemson,27,At-Large,2021
Loyola Chicago,30,Automatic,2021
Georgia Tech,34,Automatic,2021
Rutgers,40,At-Large,2021
Syracuse,41,At-Large,2021
Oregon St.,46,Automatic,2021
Liberty,53,Automatic,2021
Morehead St.,56,Automatic,2021
Cleveland St.,60,Automatic,2021
Drexel,63,Automatic,2021
Gonzaga,1,Automatic,2022
Duke,8,At-Large,2022
Texas Tech,12,At-Large,2022
Arkansas,16,At-Large,2022
UConn,17,At-Large,2022
Alabama,21,At-Large,2022
Michigan St.,27,At-Large,2022
Boise St.,29,Automatic,2022
Memphis,36,At-Large,2022
Davidson,40,At-Large,2022
Rutgers,44,At-Large,2022
Notre Dame,45,At-Large,2022
New Mexico St.,50,Automatic,2022
Vermont,53,Automatic,2022
Montana St.,58,Automatic,2022
Cal St. Fullerton,62,Automatic,2022
Georgia St.,63,Automatic,2022
Baylor,4,At-Large,2022
Kentucky,6,At-Large,2022
Purdue,11,At-Large,2022
UCLA,13,At-Large,2022
Saint Mary's (CA),19,At-Large,2022
Texas,23,At-Large,2022
Murray St.,26,Automatic,2022
North Carolina,30,At-Large,2022
Marquette,35,At-Large,2022
San Francisco,37,At-Large,2022
Virginia Tech,43,Automatic,2022
Wyoming,46,At-Large,2022
Indiana,47,At-Large,2022
Akron,54,Automatic,2022
Yale,56,Automatic,2022
Saint Peter's,60,Automatic,2022
Norfolk St.,64,Automatic,2022
Arizona,2,Automatic,2022
Villanova,7,Automatic,2022
Tennessee,10,Automatic,2022
Illinois,14,At-Large,2022
Houston,18,Automatic,2022
Colorado St.,24,At-Large,2022
Ohio St.,28,At-Large,2022
Seton Hall,32,At-Large,2022
TCU,34,At-Large,2022
Loyola Chicago,39,Automatic,2022
Michigan,42,At-Large,2022
